Informazioni cronologiche,ID valutatore,ID testo,"Indica, per favore, il tuo grado di accordo o disaccordo con ciascuna affermazione.  [001 - Il testo è di tipo narrativo o espositivo.]","Indica, per favore, il tuo grado di accordo o disaccordo con ciascuna affermazione.  [002 - Il testo rispecchia il genere testuale previsto dalla consegna (lettera).]","Indica, per favore, il tuo grado di accordo o disaccordo con ciascuna affermazione.  [003 - Il registro è generalmente adeguato al tipo di task assegnato (lettera formale a un rappresentante delle istituzioni).]","Indica, per favore, il tuo grado di accordo o disaccordo con ciascuna affermazione.  [004 - La trattazione del tema è aderente al task assegnato (ovvero non c'è confusione tra DAD e DDI).]","Indica, per favore, il tuo grado di accordo o disaccordo con ciascuna affermazione.  [007 - Gli incisi sono di norma correttamente segnalati.]","Indica, per favore, il tuo grado di accordo o disaccordo con ciascuna affermazione.  [008 - Nel testo sono presenti molte virgole splice.]","Indica, per favore, il tuo grado di accordo o disaccordo con ciascuna affermazione.  [005 - All'interno del paragrafo la punteggiatura è scarsamente segnalata.]","Indica, per favore, il tuo grado di accordo o disaccordo con ciascuna affermazione.  [006- L’uso del punto nel testo è sempre funzionale alla suddivisione degli enunciati.]","Indica, per favore, il tuo grado di accordo o disaccordo con ciascuna affermazione.  [009 - Il testo è suddiviso in modo incoerente o non è affatto suddiviso in sezioni.]","Indica, per favore, il tuo grado di accordo o disaccordo con ciascuna affermazione.  [010 - Il testo è suddiviso in paragrafi coerenti con i cambi di argomento (movimenti testuali).]","Indica, per favore, il tuo grado di accordo o disaccordo con ciascuna affermazione.  [011 - La segmentazione è funzionale all’articolazione del testo.]","Indica, per favore, il tuo grado di accordo o disaccordo con ciascuna affermazione.  [012 - Le devianze nella punteggiatura sono tali da compromettere la coerenza e/o la comprensione del testo.]","Indica, per favore, il tuo grado di accordo o disaccordo con ciascuna affermazione.  [013 - Nel testo vengono rispettate le regole di interpunzione.]","Indica, per favore, il tuo grado di accordo o disaccordo con ciascuna affermazione.  [014 - Di norma i connettivi sono impiegati coerentemente con la loro semantica.]","Indica, per favore, il tuo grado di accordo o disaccordo con ciascuna affermazione.  [015 - I connettivi sono spesso impiegati in modo sintatticamente improprio.]","Indica, per favore, il tuo grado di accordo o disaccordo con ciascuna affermazione.  [016 - Le devianze nell’uso dei connettivi sono rilevanti.]","Indica, per favore, il tuo grado di accordo o disaccordo con ciascuna affermazione.  [017 - Il collegamento tra la ripresa e il suo referente è sempre ricostruibile.]","Indica, per favore, il tuo grado di accordo o disaccordo con ciascuna affermazione.  [018 - I riferimenti (incapsulatori) a contenuti già menzionati nel testo a volte sono difficili da ricostruire.]","Indica, per favore, il tuo grado di accordo o disaccordo con ciascuna affermazione.  [019 - Le parti del testo sono per lo più giustapposte.]","Indica, per favore, il tuo grado di accordo o disaccordo con ciascuna affermazione.  [020 - L'uso dei connettivi e delle anafore è funzionale alla coesione del testo.]","Indica, per favore, il tuo grado di accordo o disaccordo con ciascuna affermazione.  [021 - Nel testo è riconoscibile un'idea di fondo.]","Indica, per favore, il tuo grado di accordo o disaccordo con ciascuna affermazione.  [022 - Il testo è strutturato sulla base dell’idea di fondo.]","Indica, per favore, il tuo grado di accordo o disaccordo con ciascuna affermazione.  [023 - La tesi è riconoscibile.]","Indica, per favore, il tuo grado di accordo o disaccordo con ciascuna affermazione.  [024 - La tesi è sostenuta da argomenti.]","Indica, per favore, il tuo grado di accordo o disaccordo con ciascuna affermazione.  [025 - Non tutte le argomentazioni sono sviluppate.]","Indica, per favore, il tuo grado di accordo o disaccordo con ciascuna affermazione.  [026 - Le conclusioni derivano dagli argomenti presenti nel testo.]","Indica, per favore, il tuo grado di accordo o disaccordo con ciascuna affermazione.  [027 - Le idee presenti nel testo sono ben collegate tra loro.]","Indica, per favore, il tuo grado di accordo o disaccordo con ciascuna affermazione.  [028 - Il testo è costruito a elenco, ovvero è privo di una gerarchia riconoscibile.]","Indica, per favore, il tuo grado di accordo o disaccordo con ciascuna affermazione.  [029 - Sono presenti delle devianze nella sequenza logica, tematica o temporale degli argomenti.]","Indica, per favore, il tuo grado di accordo o disaccordo con ciascuna affermazione.  [030 - Gli argomenti introdotti nel testo sono ridondanti.]","Indica, per favore, il tuo grado di accordo o disaccordo con ciascuna affermazione.  [031 - Il testo è stato progettato in modo efficace.]","Indica, per favore, il tuo grado di accordo o disaccordo con ciascuna affermazione.  [032 - Il contenuto è contraddittorio/incoerente.]","Indica, per favore, il tuo grado di accordo o disaccordo con ciascuna affermazione.  [033 - Il contenuto è convincente.]","Indica, per favore, il tuo grado di accordo o disaccordo con ciascuna affermazione.  [034 - Gli argomenti introdotti nel testo sono funzionali allo scopo.]","Indica, per favore, il tuo grado di accordo o disaccordo con ciascuna affermazione.  [035 - Gli argomenti introdotti nel testo vanno fuori tema (off-topic).]","Indica, per favore, il tuo grado di accordo o disaccordo con ciascuna affermazione.  [036 - Gli argomenti introdotti nel testo sono generici.]","Indica, per favore, il tuo grado di accordo o disaccordo con ciascuna affermazione.  [037 - I termini utilizzati provocano fraintendimenti.]","Indica, per favore, il tuo grado di accordo o disaccordo con ciascuna affermazione.  [038 - I termini utilizzati sono coerenti con la loro semantica e il contesto in cui appaiono.]","Indica, per favore, il tuo grado di accordo o disaccordo con ciascuna affermazione.  [039 - Nel testo ci sono  informazioni implicite che rendono difficoltosa la comprensione.]","Indica, per favore, il tuo grado di accordo o disaccordo con ciascuna affermazione.  [040 - Tutte le informazioni necessarie alla piena comprensione del testo sono ben esplicitate.]","Indica, per favore, il tuo grado di accordo o disaccordo con ciascuna affermazione.  [041 - Il lettore deve sforzarsi per comprendere quanto scritto.]","Indica, per favore, il tuo grado di accordo o disaccordo con ciascuna affermazione.  [042 - Sono necessarie diverse riletture per comprendere il testo o alcune sue parti.]","Indica, per favore, il tuo grado di accordo o disaccordo con ciascuna affermazione.  [043 - Il testo si comprende facilmente.]","Indica, per favore, il tuo grado di accordo o disaccordo con ciascuna affermazione.  [044 - Lo scopo/gli scopi del testo è/sono chiaro/i.]"
28/03/2023 12.24.08,VeC,SL07RI_BEL24E,1 - Un po’ in disaccordo,3 - Del tutto d'accordo,1 - Un po’ in disaccordo,0 - Del tutto in disaccordo,1 - Un po’ in disaccordo,1 - Un po’ in disaccordo,3 - Del tutto d'accordo,0 - Del tutto in disaccordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,0 - Del tutto in disaccordo,2 - Un po’ d’accordo,0 - Del tutto in disaccordo,3 - Del tutto d'accordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,0 - Del tutto in disaccordo,3 - Del tutto d'accordo,3 - Del tutto d'accordo,3 - Del tutto d'accordo,3 - Del tutto d'accordo,0 - Del tutto in disaccordo,3 - Del tutto d'accordo,1 - Un po’ in disaccordo,3 - Del tutto d'accordo,2 - Un po’ d’accordo,0 - Del tutto in disaccordo,2 - Un po’ d’accordo,0 - Del tutto in disaccordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,0 - Del tutto in disaccordo,3 - Del tutto d'accordo,2 - Un po’ d’accordo,0 - Del tutto in disaccordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,3 - Del tutto d'accordo
28/03/2023 15.08.56,PiA,DM08TO_FRA22V,3 - Del tutto d'accordo,3 - Del tutto d'accordo,2 - Un po’ d’accordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,3 - Del tutto d'accordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,2 - Un po’ d’accordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,3 - Del tutto d'accordo,2 - Un po’ d’accordo,0 - Del tutto in disaccordo,3 - Del tutto d'accordo,0 - Del tutto in disaccordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,3 - Del tutto d'accordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,2 - Un po’ d’accordo,2 - Un po’ d’accordo,2 - Un po’ d’accordo,0 - Del tutto in disaccordo,2 - Un po’ d’accordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,3 - Del tutto d'accordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,1 - Un po’ in disaccordo,0 - Del tutto in disaccordo,2 - Un po’ d’accordo,2 - Un po’ d’accordo
28/03/2023 16.31.56,PiA,AC20PA_PUL08D,3 - Del tutto d'accordo,3 - Del tutto d'accordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,1 - Un po’ in disaccordo,3 - Del tutto d'accordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,2 - Un po’ d’accordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,0 - Del tutto in disaccordo,3 - Del tutto d'accordo,3 - Del tutto d'accordo,1 - Un po’ in disaccordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,3 - Del tutto d'accordo,1 - Un po’ in disaccordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,3 - Del tutto d'accordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,2 - Un po’ d’accordo,0 - Del tutto in disaccordo,2 - Un po’ d’accordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,2 - Un po’ d’accordo,3 - Del tutto d'accordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,3 - Del tutto d'accordo,0 - Del tutto in disaccordo,2 - Un po’ d’accordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,3 - Del tutto d'accordo
28/03/2023 16.39.29,PiA,TB05GA_HAT24B,3 - Del tutto d'accordo,3 - Del tutto d'accordo,1 - Un po’ in disaccordo,0 - Del tutto in disaccordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,1 - Un po’ in disaccordo,1 - Un po’ in disaccordo,0 - Del tutto in disaccordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,3 - Del tutto d'accordo,1 - Un po’ in disaccordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,3 - Del tutto d'accordo,0 - Del tutto in disaccordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,2 - Un po’ d’accordo,2 - Un po’ d’accordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,3 - Del tutto d'accordo,0 - Del tutto in disaccordo,3 - Del tutto d'accordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,1 - Un po’ in disaccordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,3 - Del tutto d'accordo
28/03/2023 16.47.58,VeC,RU13GA_SEJ17K,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,1 - Un po’ in disaccordo,0 - Del tutto in disaccordo,2 - Un po’ d’accordo,3 - Del tutto d'accordo,3 - Del tutto d'accordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,1 - Un po’ in disaccordo,1 - Un po’ in disaccordo,3 - Del tutto d'accordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,3 - Del tutto d'accordo,0 - Del tutto in disaccordo,3 - Del tutto d'accordo,0 - Del tutto in disaccordo,3 - Del tutto d'accordo,3 - Del tutto d'accordo,2 - Un po’ d’accordo,2 - Un po’ d’accordo,0 - Del tutto in disaccordo,2 - Un po’ d’accordo,0 - Del tutto in disaccordo,3 - Del tutto d'accordo,3 - Del tutto d'accordo,0 - Del tutto in disaccordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,0 - Del tutto in disaccordo,3 - Del tutto d'accordo,3 - Del tutto d'accordo,0 - Del tutto in disaccordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,2 - Un po’ d’accordo
29/03/2023 10.36.36,FoL,AC20PA_GUA16R,2 - Un po’ d’accordo,3 - Del tutto d'accordo,3 - Del tutto d'accordo,2 - Un po’ d’accordo,3 - Del tutto d'accordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,2 - Un po’ d’accordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,1 - Un po’ in disaccordo,0 - Del tutto in disaccordo,2 - Un po’ d’accordo,3 - Del tutto d'accordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,3 - Del tutto d'accordo,0 - Del tutto in disaccordo,3 - Del tutto d'accordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,1 - Un po’ in disaccordo,1 - Un po’ in disaccordo,3 - Del tutto d'accordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,1 - Un po’ in disaccordo,0 - Del tutto in disaccordo,1 - Un po’ in disaccordo,1 - Un po’ in disaccordo,0 - Del tutto in disaccordo,3 - Del tutto d'accordo,0 - Del tutto in disaccordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,3 - Del tutto d'accordo,1 - Un po’ in disaccordo
29/03/2023 11.05.12,PiA,MA24GA_SANO3D,3 - Del tutto d'accordo,3 - Del tutto d'accordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,1 - Un po’ in disaccordo,1 - Un po’ in disaccordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,0 - Del tutto in disaccordo,3 - Del tutto d'accordo,3 - Del tutto d'accordo,0 - Del tutto in disaccordo,2 - Un po’ d’accordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,1 - Un po’ in disaccordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,3 - Del tutto d'accordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,2 - Un po’ d’accordo,3 - Del tutto d'accordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,3 - Del tutto d'accordo,3 - Del tutto d'accordo,0 - Del tutto in disaccordo,3 - Del tutto d'accordo,0 - Del tutto in disaccordo,3 - Del tutto d'accordo,3 - Del tutto d'accordo,0 - Del tutto in disaccordo,1 - Un po’ in disaccordo
29/03/2023 11.06.44,FoL,VN20GH_MIR9OZ,1 - Un po’ in disaccordo,0 - Del tutto in disaccordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,3 - Del tutto d'accordo,2 - Un po’ d’accordo,0 - Del tutto in disaccordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,3 - Del tutto d'accordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,3 - Del tutto d'accordo,0 - Del tutto in disaccordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,2 - Un po’ d’accordo,0 - Del tutto in disaccordo,1 - Un po’ in disaccordo,0 - Del tutto in disaccordo,2 - Un po’ d’accordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,1 - Un po’ in disaccordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,1 - Un po’ in disaccordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo
29/03/2023 11.17.08,PiA,VN20GH_AND06F,3 - Del tutto d'accordo,3 - Del tutto d'accordo,2 - Un po’ d’accordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,1 - Un po’ in disaccordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,0 - Del tutto in disaccordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,2 - Un po’ d’accordo,2 - Un po’ d’accordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,3 - Del tutto d'accordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,1 - Un po’ in disaccordo,1 - Un po’ in disaccordo,1 - Un po’ in disaccordo,0 - Del tutto in disaccordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,3 - Del tutto d'accordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,1 - Un po’ in disaccordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,2 - Un po’ d’accordo
29/03/2023 11.25.50,PiA,CA12BA_LEM09A,3 - Del tutto d'accordo,3 - Del tutto d'accordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,2 - Un po’ d’accordo,0 - Del tutto in disaccordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,0 - Del tutto in disaccordo,1 - Un po’ in disaccordo,1 - Un po’ in disaccordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,2 - Un po’ d’accordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,3 - Del tutto d'accordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,2 - Un po’ d’accordo,2 - Un po’ d’accordo,2 - Un po’ d’accordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,2 - Un po’ d’accordo,3 - Del tutto d'accordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,1 - Un po’ in disaccordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,3 - Del tutto d'accordo
29/03/2023 13.59.25,VeC,DE14ME_AIC06K,3 - Del tutto d'accordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,3 - Del tutto d'accordo,0 - Del tutto in disaccordo,3 - Del tutto d'accordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,2 - Un po’ d’accordo,0 - Del tutto in disaccordo,1 - Un po’ in disaccordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,3 - Del tutto d'accordo,0 - Del tutto in disaccordo,1 - Un po’ in disaccordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,3 - Del tutto d'accordo,3 - Del tutto d'accordo,1 - Un po’ in disaccordo,0 - Del tutto in disaccordo,2 - Un po’ d’accordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,2 - Un po’ d’accordo,3 - Del tutto d'accordo,3 - Del tutto d'accordo,0 - Del tutto in disaccordo,3 - Del tutto d'accordo,0 - Del tutto in disaccordo,3 - Del tutto d'accordo,3 - Del tutto d'accordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo
29/03/2023 18.04.21,PiA,RI09GA_SPE24F,2 - Un po’ d’accordo,2 - Un po’ d’accordo,2 - Un po’ d’accordo,0 - Del tutto in disaccordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,1 - Un po’ in disaccordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,0 - Del tutto in disaccordo,2 - Un po’ d’accordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,0 - Del tutto in disaccordo,2 - Un po’ d’accordo,0 - Del tutto in disaccordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,3 - Del tutto d'accordo,0 - Del tutto in disaccordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,2 - Un po’ d’accordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,1 - Un po’ in disaccordo,0 - Del tutto in disaccordo,3 - Del tutto d'accordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,3 - Del tutto d'accordo,3 - Del tutto d'accordo
29/03/2023 18.04.39,VeC,CA12BA_BEN26M,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,2 - Un po’ d’accordo,0 - Del tutto in disaccordo,1 - Un po’ in disaccordo,3 - Del tutto d'accordo,3 - Del tutto d'accordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,2 - Un po’ d’accordo,3 - Del tutto d'accordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,3 - Del tutto d'accordo,0 - Del tutto in disaccordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,0 - Del tutto in disaccordo,1 - Un po’ in disaccordo,0 - Del tutto in disaccordo,3 - Del tutto d'accordo,3 - Del tutto d'accordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,1 - Un po’ in disaccordo,0 - Del tutto in disaccordo,1 - Un po’ in disaccordo,0 - Del tutto in disaccordo,3 - Del tutto d'accordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo
29/03/2023 18.20.15,PiA,AL07BN_VAN05T,3 - Del tutto d'accordo,0 - Del tutto in disaccordo,2 - Un po’ d’accordo,0 - Del tutto in disaccordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,2 - Un po’ d’accordo,0 - Del tutto in disaccordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,1 - Un po’ in disaccordo,1 - Un po’ in disaccordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,1 - Un po’ in disaccordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,3 - Del tutto d'accordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,2 - Un po’ d’accordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,1 - Un po’ in disaccordo,0 - Del tutto in disaccordo,3 - Del tutto d'accordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,1 - Un po’ in disaccordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo
29/03/2023 18.34.01,PiA,TB05GA_NIC22L,2 - Un po’ d’accordo,3 - Del tutto d'accordo,3 - Del tutto d'accordo,3 - Del tutto d'accordo,2 - Un po’ d’accordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,3 - Del tutto d'accordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,2 - Un po’ d’accordo,0 - Del tutto in disaccordo,2 - Un po’ d’accordo,2 - Un po’ d’accordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,0 - Del tutto in disaccordo,2 - Un po’ d’accordo,3 - Del tutto d'accordo,1 - Un po’ in disaccordo,0 - Del tutto in disaccordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,0 - Del tutto in disaccordo,1 - Un po’ in disaccordo,0 - Del tutto in disaccordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,3 - Del tutto d'accordo,3 - Del tutto d'accordo
30/03/2023 10.46.06,PiA,AV05GH_SVO07L,1 - Un po’ in disaccordo,3 - Del tutto d'accordo,2 - Un po’ d’accordo,3 - Del tutto d'accordo,2 - Un po’ d’accordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,3 - Del tutto d'accordo,3 - Del tutto d'accordo,0 - Del tutto in disaccordo,2 - Un po’ d’accordo,0 - Del tutto in disaccordo,2 - Un po’ d’accordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,0 - Del tutto in disaccordo,3 - Del tutto d'accordo,0 - Del tutto in disaccordo,1 - Un po’ in disaccordo,3 - Del tutto d'accordo,3 - Del tutto d'accordo,2 - Un po’ d’accordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,2 - Un po’ d’accordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,1 - Un po’ in disaccordo,2 - Un po’ d’accordo,2 - Un po’ d’accordo,0 - Del tutto in disaccordo,2 - Un po’ d’accordo,2 - Un po’ d’accordo,0 - Del tutto in disaccordo,2 - Un po’ d’accordo,0 - Del tutto in disaccordo,3 - Del tutto d'accordo,2 - Un po’ d’accordo,1 - Un po’ in disaccordo,0 - Del tutto in disaccordo,0 - Del tutto in disaccordo,3 - Del tutto d'accordo,3 - Del tutto d'accordo
